codmun,mun_nome,no_regiao_sc,co_regsaud_sc
420720,IMARUI,LAGUNA,42016
420730,IMBITUBA,LAGUNA,42016
420740,IMBUIA,ALTO VALE DO ITAJAI,42004
420750,INDAIAL,MEDIO VALE DO ITAJAI,42006
420757,IOMERE,ALTO VALE DO RIO DO PEIXE,42009
420760,IPIRA,ALTO URUGUAI CATARINENSE,42010
420765,IPORA DO OESTE,EXTREMO OESTE,42001
420768,IPUAÇU,XANXERE,42003
420770,IPUMIRIM,ALTO URUGUAI CATARINENSE,42010
420775,IRACEMINHA,EXTREMO OESTE,42001
420780,IRANI,ALTO URUGUAI CATARINENSE,42010
420785,IRATI,OESTE,42002
420790,IRINEOPOLIS,PLANALTO NORTE,42012
420800,ITA,ALTO URUGUAI CATARINENSE,42010
420810,ITAIOPOLIS,PLANALTO NORTE,42012
420820,ITAJAI,FOZ DO RIO ITAJAI,42005
420830,ITAPEMA,FOZ DO RIO ITAJAI,42005
420840,ITAPIRANGA,EXTREMO OESTE,42001
420845,ITAPOA,NORDESTE,42011
420850,ITUPORANGA,ALTO VALE DO ITAJAI,42004
420860,JABORA,MEIO OESTE,42008
420870,JACINTO MACHADO,EXTREMO SUL CATARINENSE,42014
420880,JAGUARUNA,LAGUNA,42016
420890,JARAGUA DO SUL,VALE DO ITAPOCU,42017
420895,JARDINOPOLIS,OESTE,42002
420900,JOAÇABA,MEIO OESTE,42008
420910,JOINVILLE,NORDESTE,42011
420915,JOSE BOITEUX,ALTO VALE DO ITAJAI,42004
420917,JUPIA,XANXERE,42003
420920,LACERDOPOLIS,MEIO OESTE,42008
420930,LAGES,SERRA CATARINENSE,42013
420940,LAGUNA,LAGUNA,42016
420945,LAJEADO GRANDE,XANXERE,42003
420950,LAURENTINO,ALTO VALE DO ITAJAI,42004
420960,LAURO MULLER,CARBONIFERA,42015
420970,LEBON REGIS,ALTO VALE DO RIO DO PEIXE,42009
420980,LEOBERTO LEAL,GRANDE FLORIANOPOLIS,42007
420985,LINDOIA DO SUL,ALTO URUGUAI CATARINENSE,42010
420990,LONTRAS,ALTO VALE DO ITAJAI,42004
421000,LUIZ ALVES,FOZ DO RIO ITAJAI,42005
421003,LUZERNA,MEIO OESTE,42008
421005,MACIEIRA,ALTO VALE DO RIO DO PEIXE,42009
421010,MAFRA,PLANALTO NORTE,42012
421020,MAJOR GERCINO,GRANDE FLORIANOPOLIS,42007
421030,MAJOR VIEIRA,PLANALTO NORTE,42012
421040,MARACAJA,EXTREMO SUL CATARINENSE,42014
421050,MARAVILHA,EXTREMO OESTE,42001
421055,MAREMA,XANXERE,42003
421060,MASSARANDUBA,VALE DO ITAPOCU,42017
421070,MATOS COSTA,ALTO VALE DO RIO DO PEIXE,42009
421080,MELEIRO,EXTREMO SUL CATARINENSE,42014
421085,MIRIM DOCE,ALTO VALE DO ITAJAI,42004
421090,MODELO,EXTREMO OESTE,42001
421100,MONDAI,EXTREMO OESTE,42001
421105,MONTE CARLO,MEIO OESTE,42008
421110,MONTE CASTELO,PLANALTO NORTE,42012
421120,MORRO DA FUMAÇA,CARBONIFERA,42015
421125,MORRO GRANDE,EXTREMO SUL CATARINENSE,42014
421130,NAVEGANTES,FOZ DO RIO ITAJAI,42005
421140,NOVA ERECHIM,OESTE,42002
421145,NOVA ITABERABA,OESTE,42002
421150,NOVA TRENTO,GRANDE FLORIANOPOLIS,42007
421160,NOVA VENEZA,CARBONIFERA,42015
421165,NOVO HORIZONTE,XANXERE,42003
421170,ORLEANS,CARBONIFERA,42015
421175,OTACILIO COSTA,SERRA CATARINENSE,42013
421180,OURO,MEIO OESTE,42008
421185,OURO VERDE,XANXERE,42003
421187,PAIAL,OESTE,42002
421189,PAINEL,SERRA CATARINENSE,42013
421190,PALHOÇA,GRANDE FLORIANOPOLIS,42007
421200,PALMA SOLA,EXTREMO OESTE,42001
421205,PALMEIRA,SERRA CATARINENSE,42013
421210,PALMITOS,OESTE,42002
421220,PAPANDUVA,PLANALTO NORTE,42012
421223,PARAISO,EXTREMO OESTE,42001
421225,PASSO DE TORRES,EXTREMO SUL CATARINENSE,42014
421227,PASSOS MAIA,XANXERE,42003
421230,PAULO LOPES,GRANDE FLORIANOPOLIS,42007
421240,PEDRAS GRANDES,LAGUNA,42016
421250,PENHA,FOZ DO RIO ITAJAI,42005
421260,PERITIBA,ALTO URUGUAI CATARINENSE,42010
421265,PESCARIA BRAVA,LAGUNA,42016
421270,PETROLANDIA,ALTO VALE DO ITAJAI,42004
421290,PINHALZINHO,OESTE,42002
421300,PINHEIRO PRETO,ALTO VALE DO RIO DO PEIXE,42009
421310,PIRATUBA,ALTO URUGUAI CATARINENSE,42010
421315,PLANALTO ALEGRE,OESTE,42002
421320,POMERODE,MEDIO VALE DO ITAJAI,42006
421330,PONTE ALTA,SERRA CATARINENSE,42013
421335,PONTE ALTA DO NORTE,ALTO VALE DO RIO DO PEIXE,42009
421340,PONTE SERRADA,XANXERE,42003
421350,PORTO BELO,FOZ DO RIO ITAJAI,42005
421360,PORTO UNIAO,PLANALTO NORTE,42012
421370,POUSO REDONDO,ALTO VALE DO ITAJAI,42004
421380,PRAIA GRANDE,EXTREMO SUL CATARINENSE,42014
421390,PRESIDENTE CASTELLO BRAN,ALTO URUGUAI CATARINENSE,42010
421400,PRESIDENTE GETULIO,ALTO VALE DO ITAJAI,42004
421410,PRESIDENTE NEREU,ALTO VALE DO ITAJAI,42004
421415,PRINCESA,EXTREMO OESTE,42001
421420,QUILOMBO,OESTE,42002
421430,RANCHO QUEIMADO,GRANDE FLORIANOPOLIS,42007
421440,RIO DAS ANTAS,ALTO VALE DO RIO DO PEIXE,42009
421450,RIO DO CAMPO,ALTO VALE DO ITAJAI,42004
421460,RIO DO OESTE,ALTO VALE DO ITAJAI,42004
421480,RIO DO SUL,ALTO VALE DO ITAJAI,42004
421470,RIO DOS CEDROS,MEDIO VALE DO ITAJAI,42006
421490,RIO FORTUNA,LAGUNA,42016
421500,RIO NEGRINHO,PLANALTO NORTE,42012
421505,RIO RUFINO,SERRA CATARINENSE,42013
421507,RIQUEZA,OESTE,42002
421510,RODEIO,MEDIO VALE DO ITAJAI,42006
421520,ROMELANDIA,EXTREMO OESTE,42001
421530,SALETE,ALTO VALE DO ITAJAI,42004
421535,SALTINHO,EXTREMO OESTE,42001
421540,SALTO VELOSO,ALTO VALE DO RIO DO PEIXE,42009
421545,SANGAO,LAGUNA,42016
421550,SANTA CECILIA,ALTO VALE DO RIO DO PEIXE,42009
421555,SANTA HELENA,EXTREMO OESTE,42001
421560,SANTA ROSA DE LIMA,LAGUNA,42016
421565,SANTA ROSA DO SUL,EXTREMO SUL CATARINENSE,42014
421567,SANTA TEREZINHA,ALTO VALE DO ITAJAI,42004
421568,SANTA TEREZINHA DO PROGR,EXTREMO OESTE,42001
421569,SANTIAGO DO SUL,OESTE,42002
421570,SANTO AMARO DA IMPERATRI,GRANDE FLORIANOPOLIS,42007
421580,SAO BENTO DO SUL,PLANALTO NORTE,42012
421575,SAO BERNARDINO,XANXERE,42003
421590,SAO BONIFACIO,GRANDE FLORIANOPOLIS,42007
421600,SAO CARLOS,OESTE,42002
421605,SAO CRISTOVAO DO SUL,ALTO VALE DO RIO DO PEIXE,42009
421610,SAO DOMINGOS,XANXERE,42003
421620,SAO FRANCISCO DO SUL,NORDESTE,42011
421630,SAO JOAO BATISTA,GRANDE FLORIANOPOLIS,42007
421635,SAO JOAO DO ITAPERIU,VALE DO ITAPOCU,42017
421625,SAO JOAO DO OESTE,EXTREMO OESTE,42001
421640,SAO JOAO DO SUL,EXTREMO SUL CATARINENSE,42014
421650,SAO JOAQUIM,SERRA CATARINENSE,42013
421660,SAO JOSE,GRANDE FLORIANOPOLIS,42007
421670,SAO JOSE DO CEDRO,EXTREMO OESTE,42001
421680,SAO JOSE DO CERRITO,SERRA CATARINENSE,42013
421690,SAO LOURENÇO DO OESTE,XANXERE,42003
421700,SAO LUDGERO,LAGUNA,42016
421710,SAO MARTINHO,LAGUNA,42016
421715,SAO MIGUEL DA BOA VISTA,EXTREMO OESTE,42001
421720,SAO MIGUEL DO OESTE,EXTREMO OESTE,42001
421725,SAO PEDRO DE ALCANTARA,GRANDE FLORIANOPOLIS,42007
421730,SAUDADES,EXTREMO OESTE,42001
421740,SCHROEDER,VALE DO ITAPOCU,42017
421750,SEARA,ALTO URUGUAI CATARINENSE,42010
421755,SERRA ALTA,OESTE,42002
421760,SIDEROPOLIS,CARBONIFERA,42015
421770,SOMBRIO,EXTREMO SUL CATARINENSE,42014
421775,SUL BRASIL,OESTE,42002
421780,TAIO,ALTO VALE DO ITAJAI,42004
421790,TANGARA,ALTO VALE DO RIO DO PEIXE,42009
421795,TIGRINHOS,EXTREMO OESTE,42001
421800,TIJUCAS,GRANDE FLORIANOPOLIS,42007
421810,TIMBE DO SUL,EXTREMO SUL CATARINENSE,42014
421820,TIMBO,MEDIO VALE DO ITAJAI,42006
421825,TIMBO GRANDE,ALTO VALE DO RIO DO PEIXE,42009
421830,TRES BARRAS,PLANALTO NORTE,42012
421835,TREVISO,CARBONIFERA,42015
421840,TREZE DE MAIO,LAGUNA,42016
421850,TREZE TILIAS,MEIO OESTE,42008
421860,TROMBUDO CENTRAL,ALTO VALE DO ITAJAI,42004
421870,TUBARAO,LAGUNA,42016
421875,TUNAPOLIS,EXTREMO OESTE,42001
421880,TURVO,EXTREMO SUL CATARINENSE,42014
421885,UNIAO DO OESTE,OESTE,42002
421890,URUBICI,SERRA CATARINENSE,42013
421895,URUPEMA,SERRA CATARINENSE,42013
421900,URUSSANGA,CARBONIFERA,42015
421910,VARGEAO,XANXERE,42003
421915,VARGEM,MEIO OESTE,42008
421917,VARGEM BONITA,MEIO OESTE,42008
421920,VIDAL RAMOS,ALTO VALE DO ITAJAI,42004
421930,VIDEIRA,ALTO VALE DO RIO DO PEIXE,42009
421935,VITOR MEIRELES,ALTO VALE DO ITAJAI,42004
421940,WITMARSUM,ALTO VALE DO ITAJAI,42004
421950,XANXERE,XANXERE,42003
421960,XAVANTINA,ALTO URUGUAI CATARINENSE,42010
421970,XAXIM,XANXERE,42003
421985,ZORTEA,MEIO OESTE,42008
